S.No.,Company,Ticker,Sector,Country
1,1&1 Ag,1U1.DE,Wireless Communication,Germany
2,11 88 0 Solutions Ag,TGT.DE,Telecommunication Services,Germany
3,3U Holding Ag,UUU.DE,Industrial Products & Services,Germany
4,4Sc Ag,VSC.DE,Biotechnology,Germany
5,About You Holding Se,YOU.DE,"Retail, Internet",Germany
6,Accentro Real Estate Ag O.N.,A4Y.DE,Real Estate,Germany
7,"Ad Pepper Media Eo 0,05",APM.DE,Advertising,Netherlands
8,Adesso Se Inh O.N.,ADN1.DE,IT-Services,Germany
9,Adidas Ag Na O.N.,ADS.DE,Clothing & Footwear,Germany
10,Adler Group S.A.,ADJ.DE,Real Estate,Luxembourg
11,Adtran Holdings Inc.,QH9.DE,Communications Technology,United States
12,Airbus Se,AIR.DE,Heavy Machinery,Netherlands
13,Aixtron Se Na O.N.,AIXA.DE,Semiconductors,Germany
14,All For One Group Na O.N.,A1OS.DE,IT-Services,Germany
15,Allane Se,LNSX.DE,Diversified Financial,Germany
16,Allianz Se Na O.N.,ALV.DE,Insurance,Germany
17,Alstria Office Reit-Ag,AOX.DE,Real Estate,Germany
18,Alzchem Group Ag Inh O.N.,ACT.DE,"Chemicals, Specialty",Germany
19,Amadeus Fire Ag,AAD.DE,Industrial Products & Services,Germany
20,"Aroundtown Eo-,01",AAD.DE,Real Estate,Cyprus
21,Artnet Ag Na O.N.,ART.DE,"Retail, Internet",Germany
22,Atoss Software Ag,AOF.DE,Software,Germany
23,Aumann Ag Inh O.N.,AAG.DE,Industrial Machinery,Germany
24,Aurubis Ag,NDA.DE,Steel & Other Metals,Germany
25,Auto1 Group Se,AG1.DE,"Retail, Internet",Germany
26,Basf Se Na O.N.,BAS.DE,"Chemicals, Specialty",Germany
27,Basler Ag O.N.,BSL.DE,Advanced Industrial Equipment,Germany
28,Bastei Luebbe Ag O.N.,BST.DE,Publishing & Printing,Germany
29,Bay.Motoren Werke Vzo,BMW3.DE,Automobile Manufacturers,Germany
30,Bay.Motoren Werke Ag St,BMW.DE,Automobile Manufacturers,Germany
31,Bayer Ag Na O.N.,BAYN.DE,"Chemicals, Specialty",Germany
32,Baywa Ag Na O.N.,BYW.DE,Industrial Products & Services,Germany
33,Baywa Ag Vink.Na. O.N.,BYW6.DE,Industrial Products & Services,Germany
34,"Bb Biotech Nam. Sf 0,20",BBZA.DE,Biotechnology,Switzerland
35,Bechtle Ag O.N.,BC8.DE,IT-Services,Germany
36,Befesa S.A. Ord. O.N.,BFSA.DE,Industrial Products & Services,Luxembourg
37,Beiersdorf Ag O.N.,BEI.DE,Personal Products,Germany
38,Bertrandt Ag O.N.,BDT.DE,Auto Parts & Equipment,Germany
39,Bet-At-Home.Com Ag O.N.,ACX.DE,"Retail, Internet",Germany
40,Bike24 Holding Ag,BIKE.DE,"Retail, Internet",Germany
41,Bilfinger Se O.N.,GBF.DE,Industrial Products & Services,Germany
42,Biofrontera Ag Na O.N.,B8F.DE,Biotechnology,Germany
43,Biotest Ag St O.N.,BIO.DE,Pharmatceuticals,Germany
44,Biotest Ag Vz O.N.,BIO3.DE,Pharmatceuticals,Germany
45,Borussia Dortmund,BVB.DE,Movies & Entertainment,Germany
46,Brain Biotech Ag,BNN.DE,"Chemicals, Specialty",Germany
47,Branicks Group Ag,BRK.DE,Real Estate,Great Britain
48,Brenntag Se,BNR.DE,Industrial Products & Services,Germany
49,Brockhaus Technologies Ag,BKHT.DE,Information Technology,Germany
50,Cancom Se O.N.,COK.DE,IT-Services,Germany
51,Carl Zeiss Meditec Ag,AFX.DE,Medical Technology,Germany
52,Ceconomy Ag St O.N.,CEC.DE,"Retail, Specialty",Germany
53,Cenit Ag O.N.,CSH.DE,IT-Services,Germany
54,Cewe Stiftung Kgaa O.N.,CWC.DE,Leisure,Germany
55,Cherry Se,C3RY.DE,Electronic Components & Hardware,Germany
56,Commerzbank Ag,CBK.DE,Credit Banks,Germany
57,Compugroup Med. Na O.N.,COP.DE,Software,Germany
58,Continental Ag O.N.,CON.DE,Auto Parts & Equipment,Germany
59,Covestro Ag O.N.,1COV.DE,"Chemicals, Specialty",Germany
60,Creditshelf Ag Ia O.N.,CSQ.DE,Diversified Financial,Germany
61,Cropenergies Ag,CE2.DE,Renewable Energies,Germany
62,Cts Eventim Kgaa,EVD.DE,Movies & Entertainment,Germany
63,Daimler Truck Holding Ag,DTG .DE,Heavy Machinery,Germany
64,Data Modul Ag O.N.,DAM.DE,Electronic Components & Hardware,Germany
65,Delivery Hero Se Na O.N.,DHER.DE,"Retail, Internet",Germany
66,Delticom Ag Na O.N.,DEX.DE,"Retail, Internet",Germany
67,Demire Deutsche Mittelstand Real Estate Ag,DMRE.DE,Real Estate,Germany
68,Dermapharm Holding Inh O.N.,DMP.DE,Pharmaceuticals,Germany
69,Deutsche Bank Ag Na O.N.,DBK.DE,Credit Banks,Germany
70,Deutsche Boerse Na O.N.,DB1.DE,Securities Brokers,Germany
71,Deutsche Euroshop Na O.N.,DEQ.DE,Real Estate,Germany
